,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
138,PBA,0.1175291712961167,0.0881783275000849,0.065311565738771,0.0919346328145995,141,437,226,804
139,LKQ,0.0776356019978768,0.1618716084775263,0.0191893045843316,0.0694598771573694,257,243,305,805
140,HUN,0.0832808302012499,0.1030832949838932,0.0309587434008994,0.1162310717156575,234,386,185,805
141,PSA,0.1339535552143632,0.1334643609699872,0.0795942653215824,0.0541157518220131,113,300,395,808
142,TLK,0.0753423682935339,0.1932628268979121,0.0404366410176568,0.0613463257442076,274,190,347,811
143,JWN,0.0830778266298004,0.0807993049522154,0.0403520872201887,0.1603910693710024,238,468,110,816
144,TEF,0.1047820962457991,0.046867416976728,0.0727899495054109,0.2761016051747834,177,606,34,817
145,SWKS,0.0625379965417022,0.1525444412805597,0.0257838789160538,0.1031036994266586,349,264,206,819
146,RDY,0.0580811018794038,0.406030447433897,0.0064159431645897,0.0515556276505461,374,33,415,822
147,BCS,0.225194143545,0.0102338708025836,0.0751406909466953,1.0820943284209388,40,777,5,822
148,HOG,0.1159197102532582,0.1142514439467698,0.0145687645687645,0.0620387339640398,145,348,338,831
149,DE,0.0968126856425625,0.2454976754518191,0.0135895831607256,0.0392450400878418,198,121,515,834
150,QCOM,0.0586297675295668,0.1880614314691393,0.0280664069672788,0.0798457660949534,371,200,263,834
151,PAA,0.1257921142779508,0.0354529339575473,0.0948596271604219,0.2369064601589566,126,666,48,840
152,BBY,0.0741051606019156,0.263042203985932,0.0412043493410228,0.0466878178845049,279,107,454,840
153,NXPI,0.0673436660414001,0.1901732946008213,0.0196932500264589,0.0644682099025675,323,194,325,842
154,LRCX,0.0536776948296611,0.3545219903779786,0.0108036134624345,0.0556582309650518,403,52,389,844
155,ABC,0.0602151192205483,0.1808789511552734,0.0138834481593923,0.0782195398231298,362,211,271,844
156,EOG,0.1031080999193101,0.4007473924926097,0.018684107293021,0.0285975810061033,182,35,627,844
