,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
230,TREX,0.039043605,0.38366148,0.0,587,49,636
231,INGR,0.075891189,0.134178553,0.02791932,294,343,637
232,HES,0.051195243,0.212196,0.010708857,458,182,640
233,SON,0.078405508,0.127066274,0.03144931,277,364,641
234,DE,0.059165073,0.179052807,0.010893807,393,249,642
235,UGI,0.158087971,0.079175203,0.043610475,106,538,644
236,ALV,0.063417169,0.161717791,0.033582614,360,284,644
237,REGN,0.056144834,0.186825361,0.0,412,233,645
238,TRQ,0.158565065,0.077785186,0.0,103,542,645
239,VRTX,0.044918261,0.274002405,0.0,528,118,646
240,AVY,0.050886532,0.210340342,0.01605705,461,187,648
241,DVA,0.110631162,0.093585039,0.0,176,472,648
242,BERY,0.126052813,0.087929204,0.003620316,145,503,648
243,DCI,0.04688545,0.238419145,0.014948984,506,143,649
244,AMCR,0.071532711,0.140370474,0.04934938,325,327,652
245,YUM,0.034831976,0.523080603,0.017061096,635,17,652
246,BBD,0.127271583,0.086289367,0.0,142,511,653
247,BBDO,0.127271583,0.086289367,0.0,142,511,653
248,FCX,0.063333212,0.157258425,0.015815041,361,294,655
249,CMC,0.130458324,0.082554034,0.011370644,135,522,657
250,JHX,0.053131792,0.196044212,0.013448985,439,218,657
251,BHP,0.042691135,0.278798342,0.043837628,547,111,658
252,WTS,0.050884418,0.202937766,0.007991787,462,197,659
253,FICO,0.034814181,0.488408257,0.0,637,22,659
254,AMX,0.064265907,0.151317184,0.001278857,356,305,661
255,PBA,0.117529171,0.088178328,0.065311566,163,499,662
256,CSX,0.062955924,0.15270911,0.012875287,364,303,667
257,AON,0.040746219,0.295934828,0.00728679,572,95,667
258,CRH,0.088954417,0.107275683,0.030391654,234,433,667
259,WPP,0.076519957,0.122204027,0.040955606,292,379,671
260,MXL,0.047195163,0.214846371,0.0,500,174,674
261,ITT,0.054259921,0.180360721,0.012995769,429,245,674
262,WWE,0.038338428,0.306900661,0.006997351,594,81,675
263,GM,0.204362083,0.059671187,0.008167077,65,610,675
264,MAR,0.048819961,0.201934081,0.006645974,477,199,676
265,CCK,0.073169009,0.128845597,0.010668384,315,362,677
266,DAR,0.073205392,0.12651552,0.0,314,367,681
267,KMB,0.042225184,0.252068447,0.034015945,552,131,683
268,BKNG,0.038056958,0.302125896,0.0,597,87,684
269,SYY,0.047019831,0.212772935,0.026456365,504,180,684
270,GGG,0.040536492,0.280875319,0.012506917,575,109,684
271,FBHS,0.052109017,0.1827966,0.009647319,450,236,686
272,DOV,0.055142446,0.169800369,0.014883258,420,269,689
273,CE,0.170926602,0.06206089,0.026803168,91,598,689
274,VRSN,0.030396568,1.529764801,0.0,689,1,690
275,ITUB,0.120016312,0.080460864,0.027096808,157,533,690
276,EPD,0.104851334,0.088945794,0.078208782,196,496,692
277,WRK,0.120202341,0.079860587,0.033021922,156,536,692
278,LMT,0.044680923,0.225664315,0.023509711,531,161,692
279,TSCO,0.043466311,0.234706429,0.016353206,541,152,693
280,RL,0.066176628,0.132968278,0.025105845,349,348,697
281,CDW,0.046160506,0.212013098,0.011704764,515,184,699
282,AWI,0.061682098,0.140910602,0.013436909,376,325,701
283,HUN,0.08328083,0.103083295,0.030958743,258,445,703
284,UNP,0.054272258,0.16547915,0.024499294,428,276,704
285,PKX,0.151266668,0.064479445,0.058619264,114,591,705
286,GNRC,0.062880449,0.135569388,4.86e-05,365,340,705
287,SYF,0.191056043,0.055962915,0.030153407,76,630,706
288,WIT,0.056211344,0.153739418,0.016251269,409,299,708
289,WAT,0.0344412,0.349957687,0.0,644,65,709
290,CHTR,0.092303292,0.090307871,0.0,227,487,714
291,FN,0.052273998,0.16805329,0.0,444,271,715
292,FOXA,0.073375458,0.114069491,0.017707233,311,406,717
293,CPB,0.062626914,0.133387556,0.032627309,370,347,717
294,FOX,0.073375458,0.114069491,0.017707233,311,406,717
295,MRK,0.05168276,0.173219816,0.024960363,456,262,718
296,GPC,0.048182823,0.186904157,0.020203484,487,232,719
297,BIIB,0.075724822,0.109025295,0.0,295,425,720
298,MA,0.02950066,0.499490897,0.00565355,702,19,721
299,DISH,0.309457842,0.043915079,0.0,19,703,722
300,ALLE,0.049444665,0.178367198,0.015535125,472,251,723
301,CLH,0.066539874,0.124226042,0.0,348,375,723
302,TJX,0.036163432,0.281423188,0.013843006,617,107,724
303,ANET,0.036365364,0.27857346,0.0,614,112,726
304,CAJ,0.083278526,0.094740544,0.040733123,259,467,726
305,ASGN,0.062436015,0.130256378,0.0,372,357,729
306,LEG,0.070522103,0.114983404,0.052174519,328,401,729
307,BSMX,0.166214373,0.055787405,0.112236764,97,633,730
308,TTC,0.040116425,0.230968731,0.011374956,578,154,732
309,MOH,0.041494828,0.214874519,0.0,561,173,734
310,VRSK,0.034241846,0.303000926,0.007007033,650,86,736
311,UA,0.100442163,0.081084409,0.0,207,529,736
312,UAA,0.100442163,0.081084409,0.0,207,529,736
313,CIB,0.203965368,0.049092188,0.069476898,66,672,738
314,FL,0.083261712,0.092266158,0.036518295,260,478,738
315,DFS,0.146235193,0.057791655,0.023406954,119,620,739
316,KR,0.062342079,0.125456093,0.018947102,373,369,742
317,TT,0.045666556,0.19515442,0.016124337,524,219,743
318,EMN,0.071861475,0.10984583,0.034526131,322,422,744
319,ABM,0.077144037,0.099212106,0.017377498,287,457,744
320,JLL,0.084758333,0.089664931,0.0,253,491,744
321,OKE,0.058576535,0.131633963,0.056854191,395,352,747
322,APH,0.041905803,0.204409451,0.010516654,556,194,750
323,STR,0.465213494,0.037708111,0.337300116,10,742,752
324,KT,0.144908686,0.055812719,0.054726789,120,632,752
325,CAT,0.051450024,0.156788066,0.018723051,457,296,753
326,SBS,0.079888804,0.09140602,0.0,272,482,754
327,OGE,0.084117233,0.088312776,0.041610042,257,498,755
328,RBA,0.049895875,0.158612034,0.017984755,466,290,756
329,NSC,0.056516298,0.132713324,0.020169578,407,350,757
330,MAIN,0.087789165,0.082590289,0.070554429,237,521,758
331,CHE,0.032758155,0.300047082,0.002889291,667,91,758
332,PG,0.040002636,0.213158111,0.024567237,580,178,758
